DATETRANSA;NumClient;SensTransaction;NumeroValeur;QuantiteNegociee;CoursTransaction;Montant;NAT;GESTION;COMMERC;SOLDE;Depose;TUNSFAX
26/09/2018 00:00;10000;A;1570;1;100;100;TN;LIBRE;6;0;O;T
26/09/2018 00:00;24456;A;1570;10;100;1000;TN;LIBRE;11;0;O;T
26/09/2018 00:00;27362;A;1570;1;100;100;TN;LIBRE;53;-964,611;O;T
26/09/2018 00:00;39500;A;1570;1;100;100;TN;GEST;6;0;O;T
26/09/2018 00:00;43452;A;1570;1;100;100;TN;LIBRE;6;0;O;T
26/09/2018 00:00;44802;A;1570;9985;100;998500;TN;LIBRE;47;0;O;T
26/09/2018 00:00;49665;A;1570;1;100;100;TN;LIBRE;7;0;O;T
27/09/2018 00:00;45481;A;1570;3944;100;394400;TN;LIBRE;44;0;O;T
27/09/2018 00:00;51883;A;1570;2223;100;222300;TN;LIBRE;44;0;O;T
27/09/2018 00:00;53202;A;1570;4040;100;404000;TN;LIBRE;44;0;O;T
27/09/2018 00:00;44802;V;1570;9485;100;948500;TN;LIBRE;47;0;O;T
27/09/2018 00:00;51071;A;1570;10;100;1000;TN;LIBRE;9;0;O;S
27/09/2018 00:00;48354;A;1570;2;100;200;TN;LIBRE;7;0;O;T
27/09/2018 00:00;44783;A;1570;2;100;200;TN;LIBRE;7;0;O;T
27/09/2018 00:00;54896;A;1570;5;100;500;TN;LIBRE;44;0;O;T
27/09/2018 00:00;54896;A;1570;95;100;9500;TN;LIBRE;44;0;O;T
28/09/2018 00:00;46308;A;1570;18;100,012;1800,216;TN;LIBRE;52;0;O;T
28/09/2018 00:00;47115;A;1570;10;100,012;1000,12;TN;LIBRE;52;0;O;T
28/09/2018 00:00;54658;A;1570;144;100,012;14401,728;TN;LIBRE;53;0;O;T
01/10/2018 00:00;58545;A;1570;13;100,047;1300,611;TN;LIBRE;6;0;O;T
01/10/2018 00:00;24456;V;1570;10;100,047;1000,47;TN;LIBRE;11;0;O;T
01/10/2018 00:00;54896;V;1570;100;100,047;10004,7;TN;LIBRE;44;0;O;T
03/10/2018 00:00;53202;V;1570;250;100,071;25017,75;TN;LIBRE;44;0;O;T
03/10/2018 00:00;53539;A;1570;142;100,071;14210,082;TN;LIBRE;44;0;O;T
